"BehaviorSpace results (NetLogo 6.1.1)"
"landuse.nlogo"
"study-experiment-runtime"
"02/22/2021 17:36:17:637 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","agro-payment-rate-ha","bio-payment-rate-ha","[step]","total-hectares","total-cost"
"2","500","500","0","0","0"
"4","500","500","0","0","0"
"3","500","500","0","0","0"
"1","500","500","0","0","0"
"2","500","500","1","0","0"
"3","500","500","1","0","0"
"4","500","500","1","0","0"
"1","500","500","1","0","0"
"3","500","500","2","150","75000"
"4","500","500","2","850","425000"
"2","500","500","2","300","150000"
"1","500","500","2","400","200000"
"3","500","500","3","850","425000"
"2","500","500","3","1100","550000"
"1","500","500","3","850","425000"
"4","500","500","3","1250","625000"
"3","500","500","4","1650","825000"
"4","500","500","4","2200","1100000"
"2","500","500","4","1850","925000"
"1","500","500","4","1400","700000"
"3","500","500","5","2400","1200000"
"2","500","500","5","2450","1225000"
"4","500","500","5","2900","1450000"
"1","500","500","5","2100","1050000"
"3","500","500","6","3000","1500000"
"2","500","500","6","3500","1750000"
"4","500","500","6","3450","1725000"
"3","500","500","7","3950","1975000"
"1","500","500","6","2950","1475000"
"2","500","500","7","3900","1950000"
"4","500","500","7","3950","1975000"
"3","500","500","8","4300","2150000"
"1","500","500","7","3700","1850000"
"2","500","500","8","4400","2200000"
"4","500","500","8","4900","2450000"
"3","500","500","9","5150","2575000"
"1","500","500","8","4200","2100000"
"2","500","500","9","4800","2400000"
"4","500","500","9","5500","2750000"
"1","500","500","9","4950","2475000"
"3","500","500","10","5900","2950000"
"4","500","500","10","5750","2875000"
"2","500","500","10","5500","2750000"
"3","500","500","11","6150","3075000"
"1","500","500","10","5100","2550000"
"4","500","500","11","6200","3100000"
"2","500","500","11","6100","3050000"
"3","500","500","12","6200","3100000"
"1","500","500","11","5550","2775000"
"4","500","500","12","6700","3350000"
"2","500","500","12","6250","3125000"
"3","500","500","13","6700","3350000"
"4","500","500","13","6900","3450000"
"1","500","500","12","5750","2875000"
"2","500","500","13","6600","3300000"
"3","500","500","14","7350","3675000"
"1","500","500","13","6000","3000000"
"4","500","500","14","7450","3725000"
"3","500","500","15","7800","3900000"
"2","500","500","14","7100","3550000"
"4","500","500","15","7800","3900000"
"1","500","500","14","6150","3075000"
"3","500","500","16","8250","4125000"
"2","500","500","15","7550","3775000"
"4","500","500","16","8000","4000000"
"3","500","500","17","8900","4450000"
"1","500","500","15","6900","3450000"
"2","500","500","16","8250","4125000"
"4","500","500","17","8400","4200000"
"3","500","500","18","9050","4525000"
"2","500","500","17","8550","4275000"
"1","500","500","16","7350","3675000"
"4","500","500","18","9250","4625000"
"3","500","500","19","9500","4750000"
"2","500","500","18","8850","4425000"
"4","500","500","19","9700","4850000"
"1","500","500","17","7700","3850000"
"3","500","500","20","10050","5025000"
"2","500","500","19","9050","4525000"
"4","500","500","20","10000","5000000"
"1","500","500","18","8000","4000000"
"3","500","500","21","10200","5100000"
"1","500","500","19","8500","4250000"
"2","500","500","20","9650","4825000"
"4","500","500","21","10400","5200000"
"3","500","500","22","10250","5125000"
"2","500","500","21","9950","4975000"
"4","500","500","22","10850","5425000"
"1","500","500","20","8550","4275000"
"3","500","500","23","10600","5300000"
"2","500","500","22","10100","5050000"
"1","500","500","21","9000","4500000"
"4","500","500","23","10950","5475000"
"3","500","500","24","11050","5525000"
"2","500","500","23","10450","5225000"
"1","500","500","22","9200","4600000"
"4","500","500","24","11350","5675000"
"3","500","500","25","11350","5675000"
"2","500","500","24","10750","5375000"
"1","500","500","23","9450","4725000"
"4","500","500","25","11450","5725000"
"3","500","500","26","11700","5850000"
"2","500","500","25","10950","5475000"
"3","500","500","27","11950","5975000"
"1","500","500","24","9600","4800000"
"4","500","500","26","11800","5900000"
"2","500","500","26","11600","5800000"
"3","500","500","28","12000","6000000"
"1","500","500","25","9950","4975000"
"2","500","500","27","11850","5925000"
"4","500","500","27","12100","6050000"
"3","500","500","29","12400","6200000"
"4","500","500","28","13050","6525000"
"2","500","500","28","12050","6025000"
"1","500","500","26","10300","5150000"
"3","500","500","30","12650","6325000"
