"BehaviorSpace results (NetLogo 6.1.1)"
"landuse.nlogo"
"study-experiment"
"02/22/2021 14:57:32:058 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","220","0","190"
"[run number]","agro-payment-rate-ha","bio-payment-rate-ha","[step]","total-hectares","total-cost"
"1","500","500","30","13200","6600000"
"2","500","500","30","12250","6125000"
"4","500","500","30","10050","5025000"
"3","500","500","30","13200","6600000"
"5","500","500","30","10650","5325000"
"7","500","1000","30","12600","9475000"
"8","500","1000","30","12750","9550000"
"6","500","1000","30","11500","8600000"
"9","500","1000","30","12300","9600000"
"10","500","1000","30","13000","10100000"
"12","500","1500","30","12500","14350000"
"11","500","1500","30","14450","15775000"
"13","500","1500","30","14750","16775000"
"14","500","1500","30","14150","15175000"
"16","500","2000","30","12850","19250000"
"15","500","1500","30","15350","16975000"
"17","500","2000","30","14850","20250000"
"18","500","2000","30","13100","17725000"
"19","500","2000","30","15050","21700000"
"20","500","2000","30","14450","21100000"
"22","500","2500","30","16650","28525000"
"21","500","2500","30","15500","26150000"
"23","500","2500","30","15500","27150000"
"24","500","2500","30","14350","24775000"
"25","500","2500","30","14400","26000000"
"28","500","3000","30","14250","29500000"
"27","500","3000","30","15200","30350000"
"26","500","3000","30","15950","32725000"
"31","1000","500","30","13650","10175000"
"29","500","3000","30","14000","28750000"
"30","500","3000","30","15500","31750000"
"32","1000","500","30","14950","11275000"
"34","1000","500","30","10650","8275000"
"33","1000","500","30","12400","9875000"
"35","1000","500","30","12000","8900000"
"36","1000","1000","30","12350","12350000"
"37","1000","1000","30","15600","15600000"
"39","1000","1000","30","13850","13850000"
"38","1000","1000","30","13450","13450000"
"40","1000","1000","30","12650","12650000"
"43","1000","1500","30","15950","20575000"
"41","1000","1500","30","16750","21825000"
"42","1000","1500","30","15700","19800000"
"44","1000","1500","30","16400","21400000"
"46","1000","2000","30","17050","26900000"
"45","1000","1500","30","15200","19625000"
"47","1000","2000","30","14150","22000000"
"48","1000","2000","30","15700","24900000"
"51","1000","2500","30","15250","30250000"
"49","1000","2000","30","18800","30250000"
"50","1000","2000","30","16450","25250000"
"52","1000","2500","30","15750","30825000"
"54","1000","2500","30","14550","28050000"
"53","1000","2500","30","17650","33025000"
"55","1000","2500","30","19000","34300000"
"56","1000","3000","30","18550","39550000"
"57","1000","3000","30","17800","38700000"
"58","1000","3000","30","17350","38750000"
"59","1000","3000","30","16600","36500000"
"60","1000","3000","30","14750","32350000"
"61","1500","500","30","15400","17350000"
"63","1500","500","30","14150","14275000"
"62","1500","500","30","14650","15325000"
"64","1500","500","30","15150","17025000"
"65","1500","500","30","13900","14950000"
"67","1500","1000","30","16150","20525000"
"66","1500","1000","30","14600","18950000"
"68","1500","1000","30","15700","20150000"
"69","1500","1000","30","12100","15375000"
"70","1500","1000","30","13200","16950000"
"71","1500","1500","30","16350","24525000"
"72","1500","1500","30","16350","24525000"
"73","1500","1500","30","19350","29025000"
"74","1500","1500","30","15000","22500000"
"75","1500","1500","30","12650","18975000"
"76","1500","2000","30","18500","33025000"
"77","1500","2000","30","21150","37550000"
"78","1500","2000","30","18050","31800000"
"79","1500","2000","30","17150","30225000"
"80","1500","2000","30","18800","32975000"
"81","1500","2500","30","16050","32875000"
"82","1500","2500","30","19900","41150000"
"83","1500","2500","30","17400","35500000"
"84","1500","2500","30","19850","40825000"
"85","1500","2500","30","15200","31350000"
"86","1500","3000","30","15000","36225000"
"87","1500","3000","30","18650","41250000"
"88","1500","3000","30","16300","38700000"
"89","1500","3000","30","18150","42375000"
"91","2000","500","30","16200","22350000"
"90","1500","3000","30","18450","41625000"
"92","2000","500","30","16200","22200000"
"94","2000","500","30","16600","23675000"
"93","2000","500","30","16100","21700000"
"95","2000","500","30","14650","20975000"
"96","2000","1000","30","15800","24250000"
"98","2000","1000","30","16650","25050000"
"97","2000","1000","30","15400","24300000"
"99","2000","1000","30","17950","29250000"
"100","2000","1000","30","16000","25200000"
"101","2000","1500","30","17300","29550000"
"103","2000","1500","30","16650","28625000"
"102","2000","1500","30","16050","28250000"
"104","2000","1500","30","18400","31325000"
"105","2000","1500","30","14500","25175000"
"106","2000","2000","30","19350","38700000"
"107","2000","2000","30","16250","32500000"
"108","2000","2000","30","17800","35600000"
"109","2000","2000","30","19750","39500000"
"110","2000","2000","30","18000","36000000"
"111","2000","2500","30","19200","43000000"
"112","2000","2500","30","14550","32125000"
"113","2000","2500","30","16950","38450000"
"115","2000","2500","30","16900","38425000"
"114","2000","2500","30","18150","40500000"
"117","2000","3000","30","18450","46300000"
"116","2000","3000","30","18950","47800000"
"119","2000","3000","30","17000","42650000"
"118","2000","3000","30","17450","43250000"
"121","2500","500","30","18150","32775000"
"120","2000","3000","30","18600","47350000"
"123","2500","500","30","16300","29550000"
"122","2500","500","30","17000","29000000"
"125","2500","500","30","17000","26800000"
"124","2500","500","30","16000","29300000"
"126","2500","1000","30","16600","28900000"
"127","2500","1000","30","14950","28150000"
"128","2500","1000","30","19200","35325000"
"129","2500","1000","30","13900","25750000"
"130","2500","1000","30","16850","31775000"
"131","2500","1500","30","16750","33325000"
"132","2500","1500","30","17000","34400000"
"133","2500","1500","30","17750","36125000"
"134","2500","1500","30","17400","34800000"
"135","2500","1500","30","15800","32650000"
"136","2500","2000","30","19500","44550000"
"137","2500","2000","30","18050","40375000"
"138","2500","2000","30","17700","39625000"
"139","2500","2000","30","19850","44950000"
"140","2500","2000","30","16550","37525000"
"142","2500","2500","30","18850","47125000"
"141","2500","2500","30","20700","51750000"
"143","2500","2500","30","17950","44875000"
"144","2500","2500","30","19600","49000000"
"145","2500","2500","30","17400","43500000"
"147","2500","3000","30","19950","54850000"
"146","2500","3000","30","16950","47275000"
"148","2500","3000","30","18200","50000000"
"149","2500","3000","30","17700","49250000"
"151","3000","500","30","16150","32450000"
"150","2500","3000","30","20350","55575000"
"152","3000","500","30","16000","34125000"
"153","3000","500","30","14850","30925000"
"154","3000","500","30","16300","31900000"
"155","3000","500","30","15800","30775000"
"156","3000","1000","30","17850","40350000"
"157","3000","1000","30","16100","33500000"
"158","3000","1000","30","15550","35250000"
"159","3000","1000","30","16500","37200000"
"160","3000","1000","30","16050","34550000"
"161","3000","1500","30","16650","38475000"
"163","3000","1500","30","20850","47775000"
"162","3000","1500","30","20050","46725000"
"164","3000","1500","30","17800","39825000"
"165","3000","1500","30","16250","36525000"
"166","3000","2000","30","16950","43250000"
"167","3000","2000","30","19700","50550000"
"168","3000","2000","30","20750","52750000"
